연월,nationNm,natDefCnt
2020년 03월,일본,1953.0
2020년 04월,일본,14088.0
2020년 05월,일본,16851.0
2020년 06월,일본,18593.0
2020년 07월,일본,34372.0
2020년 08월,일본,67865.0
2020년 09월,일본,82494.0
2020년 10월,일본,99622.0
2020년 11월,일본,146760.0
2020년 12월,일본,226596.0
2021년 01월,일본,383083.0
2021년 02월,일본,430539.0
2021년 03월,일본,470175.0
2021년 04월,일본,580988.0
2021년 05월,일본,741674.0
2021년 06월,일본,796829.0
2021년 07월,일본,902718.0
2021년 08월,일본,1454364.0
2021년 09월,일본,1697631.0
2021년 10월,일본,1717980.0
2021년 11월,일본,1727143.0
2021년 12월,일본,1732369.0
2022년 01월,일본,2421443.0
2022년 02월,일본,4750496.0
2022년 03월,일본,6452108.0
2022년 04월,일본,7771536.0
2022년 05월,일본,8811614.0
2022년 06월,일본,9283083.0
2022년 07월,일본,11888057.0
2022년 08월,일본,18632422.0
2022년 09월,일본,21118325.0
2022년 10월,일본,22106126.0
2022년 11월,일본,24519674.0
2022년 12월,일본,27581407.0
