	내국인 관광객수	외국인 관광객수
2019년 1월	" 1,024,130 "	" 106,713 "
2019년 2월	" 998,890 "	" 111,927 "
2019년 3월	" 1,038,223 "	" 126,611 "
2019년 4월	" 1,158,666 "	" 139,360 "
2019년 5월	" 1,176,059 "	" 147,807 "
2019년 6월	" 1,155,020 "	" 152,197 "
2019년 7월	" 1,157,447 "	" 152,629 "
2019년 8월	" 1,243,132 "	" 178,323 "
2019년 9월	" 1,032,478 "	" 149,038 "
2019년 10월	" 1,254,419 "	" 167,893 "
2019년 11월	" 1,177,768 "	" 145,783 "
2019년 12월	" 1,143,772 "	" 147,851 "
2020년 1월	" 1,104,438 "	" 145,608 "
2020년 2월	" 599,575 "	" 29,229 "
2020년 3월	" 477,176 "	" 3,586 "
2020년 4월	" 541,099 "	" 1,159 "
2020년 5월	" 765,616 "	" 2,486 "
2020년 6월	" 860,528 "	2889 
2020년 7월	" 988,094 "	" 4,382 "
2020년 8월	" 1,127,097 "	" 5,998 "
2020년 9월	" 726,169 "	" 3,508 "
2020년 10월	" 1,072,455 "	" 5,788 "
2020년 11월	" 1,138,369 "	5331 
2020년 12월	" 623,062 "	" 2,803 "
2021년 1월	" 465,672 "	" 2,344 "
2021년 2월	" 790,712 "	" 3,056 "
2021년 3월	" 889,216 "	" 4,110 "
2021년 4월	" 1,078,759 "	" 4,102 "
2021년 5월	" 1,132,368 "	" 4,084 "
2021년 6월	" 1,134,254 "	4613 
2021년 7월	" 1,126,885 "	" 4,627 "
2021년 8월	" 969,818 "	" 4,376 "
2021년 9월	" 867,371 "	" 5,025 "
2021년 10월	" 1,218,155 "	" 3,939 "
2021년 11월	" 1,200,047 "	4297 
2021년 12월	" 1,086,902 "	" 3,705 "
