Column1,내국인 관광객수,외국인 관광객수
2019-01-01,1024130,106713
2019-02-01,998890,111927
2019-03-01,1038223,126611
2019-04-01,1158666,139360
2019-05-01,1176059,147807
2019-06-01,1155020,152197
2019-07-01,1157447,152629
2019-08-01,1243132,178323
2019-09-01,1032478,149038
2019-10-01,1254419,167893
2019-11-01,1177768,145783
2019-12-01,1143772,147851
2020-01-01,1104438,145608
2020-02-01,599575,29229
2020-03-01,477176,3586
2020-04-01,541099,1159
2020-05-01,765616,2486
2020-06-01,860528,2889
2020-07-01,988094,4382
2020-08-01,1127097,5998
2020-09-01,726169,3508
2020-10-01,1072455,5788
2020-11-01,1138369,5331
2020-12-01,623062,2803
2021-01-01,465672,2344
2021-02-01,790712,3056
2021-03-01,889216,4110
2021-04-01,1078759,4102
2021-05-01,1132368,4084
2021-06-01,1134254,4613
2021-07-01,1126885,4627
2021-08-01,969818,4376
2021-09-01,867371,5025
2021-10-01,1218155,3939
2021-11-01,1200047,4297
2021-12-01,1086902,3705
